Addres,Price,Bedrooms,Bathrooms,Rest,List Price,Price Sq.Ft,Est. Mo. Payment,Buyer,Redfin estimate,HOA Dues,Status,Time on Redfin,Property Type,Year Built,Style,Community,Lot Size,MLS#,Path_for_img,Brokerage Compensation
355 Congress #502,"$969,000",1,1,838,969000,1156,4525,,972444,199/month,New,3 days,Condo,1890,Low-Rise,Seaport District,"9,999 Sq. Ft.",72852553,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/22
69 Dartmouth St #1,"$699,000",1,1,598,699000,1169,3134,,700371,195/month,New,3 days,Condo,1880,Brownstone,South End,598 Sq. Ft.,72852528,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/23
38 Edwin St #1,"$649,000",3,2,"1,233",649000,526,2751,,649965,202/month,New,3 days,Condo,1920,Philadelphia,Boston,598 Sq. Ft.,72852484,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/24
65 Strathmore Rd #26,"$389,900",1,1,718,389900,543,2121,,392195,404/month,New,3 days,Condo,1920,Mid-Rise,Brighton,598 Sq. Ft.,72852476,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/25
611 Adams St,"$799,000",4,2.5,"1,534",799000,521,3221,,802620,404/month,New,3 days,Single Family Residential,1920,Colonial,Dorchester,"3,902 Sq. Ft.",72852472,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/26
55 Stanbro St,"$499,000",4,1.5,"1,550",499000,322,2158,,552537,404/month,Active,4 days,Single Family Residential,1914,Multi-Level,Boston,"6,000 Sq. Ft.",72852336,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/27
4 Linden St,"$1,699,000",4,2.5,"2,043",1699000,832,6697,,1699831,404/month,Active,4 days,Single Family Residential,1890,"Colonial, Multi-Level",South Boston,"2,613 Sq. Ft.",72852318,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/28
251 Lamartine St #1,"$649,000",2,1,930,649000,698,2983,,662687,220/month,Active,4 days,Condo,1900,2/3 Family,Jamaica Plain,"2,613 Sq. Ft.",72852286,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/29
5 Larch Pl #2,"$719,000",3,2.5,"1,650",719000,436,3227,,720130,190/month,Active,4 days,Townhouse,2013,Townhouse,Roslindale,"1,650 Sq. Ft.",72852250,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/30
10-12 Castlerock St #2,"$799,999",4,1.5,"1,752",799999,457,3660,,799705,345/month,Active,4 days,Condo,1910,2/3 Family,Dorchester's Savin Hill,"1,650 Sq. Ft.",72852228,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/31
48-50 Melrose St #4,"$1,900,000",2,2,"1,675",1900000,1134,8284,,1902409,333/month,Active,4 days,Condo,1930,Brownstone,Bay Village,"1,675 Sq. Ft.",72852211,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/32
5 Hathon Sq #2,"$599,000",2,1,720,599000,832,2756,,618378,168/month,Active,4 days,Condo,1855,Low-Rise,Charlestown,"1,675 Sq. Ft.",72852190,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/33
57 Gates St #2,"$650,000",2,2,911,650000,714,2970,,650193,180/month,Active,4 days,Condo,1880,2/3 Family,South Boston,911 Sq. Ft.,72852172,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/34
60 Glen Rd #205,"$930,000",2,2,"1,403",930000,663,5173,,955467,"1,122/month",Active,4 days,Condo,1900,Low-Rise,Brookline Village,911 Sq. Ft.,72852138,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/35
34 Dix St #1,"$749,000",3,2.5,"1,646",749000,455,3651,,752302,300/month,Active,4 days,Condo,2021,Low-Rise,Dorchester,911 Sq. Ft.,72852137,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/36
592 Columbus Ave #2,"$599,000",2,1,762,599000,786,2932,,604577,225/month,Active,4 days,Condo,1950,Rowhouse,South End,911 Sq. Ft.,72852136,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/37
50 Dorset #1,"$900,000",3,2.5,"1,416",900000,636,3851,,898724,355/month,Active,4 days,Condo,1900,2/3 Family,Dorchester,"5,000 Sq. Ft.",72852134,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/38
241 Perkins St Unit D604,"$1,200,000",2,2.5,"2,184",1200000,549,7196,,1199033,"2,372/month",Active,4 days,Condo,1982,Mid-Rise,Jamaica Plain,"5,000 Sq. Ft.",72852113,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/39
48 Allston St,"$1,199,999",3,3,"1,680",1199999,714,4862,,1230452,"2,372/month",Active,4 days,Single Family Residential,1890,Cape,Charlestown,"1,155 Sq. Ft.",72852062,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/40
